HSDT,USD,United States,0.5,Health Care,Medical Equipment,-0.1426225862578586,-0.3105208850475745,-0.2631003573653343,0.04000391568454376,0.04183803520338677,0.04877458495423909,0.7238870872915487,0.6210277756213138,-0.07405323385081075
HMTV,USD,United States,0.1348314606741573,Financials,Specialty Finance,0.22319797424905685,0.0035843152442451703,0.1532123972694248,0.016667686800893606,0.016246205781226448,0.01124099336882146,0.10634653779439168,0.25222786993911755,0.10598280920141656
HNNA,USD,United States,0.4512820512820513,Financials,Asset Managers,-0.3947459418420432,-0.3155821123054704,-0.061296942218725205,0.023063101771034586,0.023302253055011712,0.05129932302140957,0.6175461020898555,0.35803562093116487,-0.22201924306705578
HSIC,USD,United States,0.3969849246231156,Consumer Services,Specialized Consumer Services,-0.11594166648026816,-0.10975543071949181,-0.03594638086546031,0.016367723690015917,0.01612760270967663,0.01510774494408832,0.23589267494474742,0.25775917042966995,-0.05975623718115963
HTBK,USD,United States,0.4271356783919598,Financials,Banks,-0.04895586269612788,-0.17752860683145055,0.07396984233344693,0.01602056315048444,0.01448423441137588,0.0301183692316138,0.4622507667585686,0.24870602108058631,-0.02478508148005032
HFWA,USD,United States,0.4623115577889447,Financials,Banks,0.4051497242527285,-0.13318988857290728,0.016855870787291748,0.01617309977999834,0.015227386998677291,0.018940233636618172,0.2878113304171677,0.2489817063340727,0.1853901147945889
HCCI,USD,United States,0.45454545454545453,Consumer Services,Specialized Consumer Services,0.9405534934286937,0.25620607177658034,0.1655807752009528,0.026091139986349855,0.025875788398431455,0.02942254957188674,0.4561091286613305,0.4042022026027976,0.3930375061098297
MLHR,USD,United States,0.4623115577889447,Consumer Goods,Furnishings,0.16539272433617208,-0.07638281873709943,0.16558143645622894,0.01699175847230714,0.01739433575682585,0.02274136723886832,0.35330434594737026,0.2621360824524749,0.07953356795246158
HRTX,USD,United States,0.44692737430167595,Health Care,Pharmaceuticals,0.5469142836743055,-0.2451815499286725,-0.07902863727047224,0.03734589562491076,0.03624414558233068,0.042460619949879506,0.7366169846066751,0.5676084720352351,0.2437500889142905
HSKA,USD,United States,0.4221105527638191,Health Care,Pharmaceuticals,-0.11198943324823038,-0.22513453363345226,0.019744454470269446,0.022702349021378927,0.025119299945920805,0.04746880678551961,0.7205083699210654,0.3553479696251038,-0.05765687419508936
HX,USD,China,0.5625,Financials,Consumer Finance,nan,-0.6598984667936275,0.07200002283283627,0.051768373385578395,nan,0.046908961117894304,0.7107495770867202,0.7799691901853728,nan
HIBB,USD,United States,0.47738693467336685,Consumer Services,Specialty Retailers,-0.24171115178822128,0.13138302396725707,0.4874127687544144,0.03765730525669148,0.03877701597277237,0.02775074638751465,0.4317505123944967,0.5809486105746043,-0.1292021771893439
SNLN,USD,nan,0.37662337662337664,nan,nan,0.04221900658672933,-0.004146021157131412,0.009773206165600243,0.013516649026234614,0.010048316740065349,0.008625909972019733,0.0298918063143076,0.046823045723029484,0.020891280493045228
HPJ,USD,China,0.5271317829457365,Industrials,Electrical Components & Equipment,-0.05948627814669731,0.22222263068725556,0.5207372624681901,0.04065962058029759,0.0435426333445454,0.052773948145150254,0.8052799943759968,0.598953612414372,-0.03019913288690923
HIHO,USD,Hong Kong,0.4723618090452261,Industrials,Industrial Machinery,-0.09225891839186577,-0.25617453600772916,0.24995136547368418,0.02743112309032864,0.02686475136543056,0.05649357698565186,0.8200541899555759,0.4114668463549296,-0.04724552921115388
HIMX,USD,Taiwan (Republic of China),0.535483870967742,Industrials,Electronic Equipment,-0.6073054445712163,-0.4145748565297542,0.003350860304862099,0.03394633802957301,0.03503089923509584,0.03699506525458025,0.5810364336826699,0.5181683613353888,-0.37334654279355983
HIFS,USD,United States,0.36683417085427134,Financials,Banks,-0.004528415082161435,-0.22324101216402628,-0.1379695057429554,0.013265095559222435,0.01516552151949368,0.02069104466950384,0.27522004742136846,0.20335006428790758,-0.002266776679337723
HSGX,USD,United States,0.5882352941176471,Health Care,Biotechnology,-0.9294236047912526,-0.7858715505369535,0.32013577322256936,0.11357791635663815,0.08412933838849297,0.06887232611963691,1.0580039731870066,1.7448170585491352,-0.7343378175036059
HCCH,USD,United States,0.375,nan,nan,nan,0.039856123601760385,0.0019943327282516718,nan,nan,0.019785323139026246,0.15150253581252907,nan,nan
HCCHR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HCCHU,USD,United States,0.4444444444444444,nan,nan,nan,-0.0047945145725609446,-0.0019520357837136515,nan,nan,0.005420436102150269,0.042355594154093054,nan,nan
HCCHW,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HMNF,USD,United States,0.4623115577889447,Financials,Banks,0.16355607881515138,0.03463447430592083,0.08104036363954516,0.014796038390021929,0.015002120911067778,0.03666586067691596,0.5284852842035045,0.208198714942534,0.07868256628868875
HMSY,USD,United States,0.40703517587939697,Health Care,Health Care Providers,0.5972599608335468,-0.111551474979695,0.036259823399972656,0.025745968198074447,0.022758897513114162,0.02732056890058454,0.4232701685681983,0.40298814526209564,0.2638275043824403
HOLI,USD,China,0.49382716049382713,Industrials,Electronic Equipment,0.22503643621162733,-0.02383222451595992,0.1804685722832787,0.023165452779987095,0.02150138959766086,0.03287678015442656,0.506516501626784,0.3596245358744821,0.10681364113911584
HOLX,USD,United States,0.39195979899497485,Health Care,Medical Supplies,0.11704925821895557,0.15275769481960783,0.1493916937411236,0.015409329460260215,0.01440906322892495,0.0245828387936901,0.38301361590465943,0.2407014208458724,0.0569055105443228
HBCP,USD,United States,0.448,Financials,Banks,0.08910852808215766,-0.1870314856707929,-0.0064726332302151544,0.012623705628672406,0.014874853518914356,0.014005235546942236,0.21804057424785145,0.19759224739560755,0.04360362594337408
HOMB,USD,United States,0.43137254901960786,Financials,Banks,-0.33112336953716487,-0.20817087429858555,0.05480946781784432,0.016521917017995838,0.01725093958569175,0.020972220288550128,0.331356865165399,0.25808059407031725,-0.18215121785085775
HFBL,USD,United States,0.38235294117647056,Financials,Banks,0.13838131675864085,-0.05462144328932873,0.0896042434962473,0.02001305734634542,0.02149329881027666,0.030247769047114514,0.3162541486771305,0.24264542497061883,0.06694953805634163
HMST,USD,United States,0.47058823529411764,Financials,Banks,0.015039945787716153,-0.02188685963394578,0.22091396647630607,0.018444090784541085,0.01740969737372416,0.017608128747944297,0.2778004488220961,0.28751492104414267,0.007491908547019532
HMTA,USD,United States,0.4306569343065693,Financials,Banks,0.5071920261945239,0.07525905991216385,0.21364024536169215,0.027303392807958266,0.022873740580110925,0.04838257429167931,0.4155947934093398,0.38127113117964373,0.2276774927457632
HTBI,USD,United States,0.3875,Financials,Banks,0.15620255128902513,-0.12820459131827378,-0.031145183710530072,0.011998953457497913,0.01299291570305638,0.011518640491925792,0.1781328971003076,0.18236830377390545,0.07526859495152416
FIXX,USD,United States,0.3333333333333333,Health Care,Biotechnology,nan,0.1828518133196567,0.20930199054309404,0.03605666869584394,nan,0.03605666869584394,0.5569733712808032,0.5539130548707776,nan
HOFT,USD,United States,0.4371859296482412,Consumer Goods,Furnishings,-0.13994955743626034,-0.14695199372141954,0.08874801712330536,0.025429454554215542,0.025171411807695693,0.028449168765914138,0.4395277504479599,0.3939514159664606,-0.07261095404154161
HOPE,USD,United States,0.4720496894409938,Financials,Banks,-0.24609736142113658,-0.1850166616588868,0.10003402487426043,0.016146098126544536,0.01606678157741119,0.02608450962065982,0.4529777104881369,0.25169276069251023,-0.13172433030813113
HFBC,USD,United States,0.457286432160804,Financials,Banks,0.36657978024860177,0.1338588864891993,0.4793081359020764,0.02894863063422238,0.022296371426637426,0.02239396922010502,0.3107377225678017,0.41649826605701995,0.1690080325851493
